iter	RMSE
0	1094.465572
1	1041.096011
2	991.6222968
3	944.6561905
4	902.9371866
5	863.9058101
6	827.5027203
7	792.4540093
8	760.7043212
9	729.7930006
10	702.7559205
11	677.0511587
12	653.2177479
13	630.3243626
14	610.7704696
15	591.9217701
16	574.0347957
17	558.0831157
18	542.9273141
19	529.1845303
20	516.9570226
21	505.4712008
22	495.4102036
23	485.9849012
24	477.6238299
25	470.0849082
26	462.9755957
27	456.9672866
28	451.1285555
29	445.8160861
30	441.0101961
31	436.8320502
32	432.8687732
33	429.5325844
34	429.4196477
35	426.6207731
36	424.0281038
37	421.5053362
38	419.3073879
39	417.3364282
40	415.5827009
41	413.8370717
42	412.3896178
43	411.1293247
44	409.9535928
45	408.9603173
46	408.0151047	407.5845542
48	406.7022949
49	406.0242667
50	405.4048247
51	404.809015
52	404.2743253
53	403.7552208
54	403.3129825
55	402.9027899
56	402.5495589
57	402.189651
58	401.93759	3959	401.64460	399.0262917
61	398.78169
62	398.62	400.9069188
63	400.7184512
64	400.5169684
65	400.3195803
66	400.1185917
67	399.9820264
68	399.8423241
69	399.770	397.2929041
71	397.1508044
72	397.0500255
73	396.9371485
74	396.8286301
75	396.7405639
76	396.6520149
77	396.5722375
78	396.4954001
79	396.4526119
80	396.3929761
81	396.3180405
82	396.2793173
83	396.2351862
84	396.1889041
85	396.1048291
86	396.086	396.699453
87	396.6545283
88	396.6102481
89	396.5416674
90	396.5006909
91	396.4540139
92	396.4269695
93	396.4170587
94	396.3705375
95	396.3203324
96	396.2990342
97	396.2611519
98	396.2358313
99	396.1986075
100	396.1693017
101	396.1317143
102	396.0955148
103	396.0765935
104	396.0119925
105	396.0065053
106	395.9778683
107	395.9306292
108	395.8935396
109	395.8736129
110	395.8495827
111	395.8254381
112	395.8075555
113	395.7475379
114	395.7280087
115	395.7145558
116	395.6851749
117	395.6647385
118	395.6628998
119	395.6284771
120	395.6047308
121	395.5597462
122	395.5578027
123	395.5516658
124	395.4878971
125	395.4485449
126	395.4240833
127	395.3587791
128	395.3243564
129	395.3163683
130	395.2888894
131	395.2445199
132	395.1974184
133	395.1694777
134	395.1366676
135	395.1176001
136	395.1078736
137	395.1014579
138	395.0762485
139	395.0460057
140	394.9721846
141	394.9214597
142	394.8988455
143	394.8888734
144	394.8320361
145	394.8225769
146	394.7732458
147	394.6906368
148	394.6819718
149	394.6771611
150	394.6021516
151	394.5616424
152	394.5063208
153	394.4556942
154	394.4392113
155	394.3805294
156	394.3410916
157	394.3060642
158	394.3002847
159	394.2717074
160	394.2260692
161	394.1793135
162	394.1583598
163	394.1183438
164	394.0846341
165	394.0397538
166	394.0192832
167	393.9583222
168	393.9273367
169	393.9101986
170	393.8440174
171	393.7960322
172	393.7576917
173	393.7170952
174	393.7131293
175	393.6507837
176	393.6196108
177	393.5625202
178	393.523789
179	393.494362
180	393.4551718
181	393.3806334
182	393.3073075
183	393.2894204
184	393.2341545
185	393.2013078
186	393.1717228
187	393.1133952
188	393.0497154
189	393.0023599
190	392.9362905
191	392.8829261
192	392.8317382
193	392.8064983
194	392.7646438
195	392.6948453
196	392.6533203
197	392.6406699
198	392.5744865
199	392.5402688
200	392.4874665
201	392.4767815
202	392.4585395
203	392.4119356
204	392.3692697
205	392.305781
206	392.2703427
207	392.2494361
208	392.2485765
209	392.1880134
210	392.1487791
211	392.101111
212	392.0322962
213	391.985439
214	391.9316844
215	391.9138977
216	391.8567646
217	391.8246528
218	391.7865679
219	391.743782
220	391.7121874
221	391.684957
222	391.6313791
223	391.6058095
224	391.5971319
225	391.5964158
226	391.5751343
227	391.5303343
228	391.5013296
229	391.450272
230	391.424127
231	391.4010422
232	391.374921
233	391.3412918
234	391.2694874
235	391.2316388
236	391.2309973
237	391.1815458
238	391.1169241
239	391.0611921
240	391.0192033
241	390.9668006
242	390.9440228
243	390.9079244
244	390.8430011
245	390.8027736
246	390.7459756
247	390.7289402
248	390.7052299
249	390.6691443
250	390.6225653
251	390.5941327
252	390.5864656
253	390.5486335
254	390.4879791
255	390.4646596
256	390.4408157
257	390.3938757
258	390.3443707
259	390.3236229
260	390.3002223
261	390.2472447
262	390.2251869
263	390.1944401
264	390.1540631
265	390.1098422
266	390.0579728
267	390.0126972
268	389.9744907
269	389.9296006
270	389.8868407
271	389.8511014
272	389.8121016
273	389.7718897
274	389.7439055
275	389.6659095
276	389.6486895
277	389.622107
278	389.6045858
279	389.5648501
280	389.4994234
281	389.478915
282	389.442149
283	389.4218341
284	389.3751633
285	389.3150373
286	389.2983535
287	389.2576394
288	389.237716
289	389.1950538
290	389.120647
291	389.0896154
292	389.0681111
293	389.0051686
294	388.9835492
295	388.9515036
296	388.906845
297	388.8779863
298	388.8478432
299	388.8094389
300	388.7649548
301	388.7377802
302	388.6872297
303	388.5932278
304	388.5623144
305	388.5192622
306	388.4513583
307	388.440438
308	388.4207376
309	388.3930595
310	388.3600245
311	388.3339375
312	388.2988234
313	388.2760489
314	388.2208164
315	388.193475
316	388.1646309
317	388.1434416
318	388.1239142
319	388.0899675
320	388.0503877
321	387.9715448
322	387.9488709
323	387.9484432
324	387.9058818
325	387.8866807
326	387.8473576
327	387.8194898
328	387.7905948
329	387.7724324
330	387.7561718
331	387.7008598
332	387.6571647
333	387.6529635
334	387.6250474
335	387.6095694
336	387.5703676
337	387.5424725
338	387.5345423
339	387.5285571
340	387.4833874
341	387.4652601
342	387.4388937
343	387.4349211
344	387.4084706
345	387.3904585
346	387.3755655
347	387.3334405
348	387.3096206
349	387.305834
350	387.2482849
351	387.2348788
352	387.1789544
353	387.1753619
354	387.1327824
355	387.0984348
356	387.0785047
357	387.0563045
358	387.0513404
359	386.9989871
360	386.9943116
361	386.9792729
362	386.940875
363	386.9377405
364	386.9198473
365	386.8921334
366	386.8773572
367	386.858115
368	386.843572
369	386.8112201
370	386.7945591
371	386.7791446
372	386.7638372
373	386.7294182
374	386.6943444
375	386.6397576
376	386.6098556
377378	385.1544562
379	385.1056737
380	385.0427127
381	385.0267806
382	385.000231
383	384.9742671
384	384.9581206
385	384.9331327
386	384.9157475
387	384.8784896
388	384.8511045
389	384.7868318
390	384.7678068
391	384.7437572
392	384.7244877
393	384.6815712
394	384.6569717
395	384.6398009
396	384.6181136
397	384.5665271
398	384.5489924
399	384.5264009
400	384.4965605
401	384.4873242
402	384.4629359
403	384.434148
404	384.4186418
405	384.4045277
406	384.3316196
407	384.2904796
408	384.2748047
409	384.2024794
410	384.1715562
411	384.1301708
412	384.1025014
413	384.0722058
414	384.0314225
415	384.018706
416	384.0019512
417	383.9938038
418	383.9679016
419	383.962253
420	383.9507899
421	383.9283234
422	383.9127903
423	383.8922231
424	383.8740075
425	383.8376125
426	383.8147232
427	383.7926222
428	383.7698526
429	383.7301995
430	383.7183179
431	383.6727764
432	383.6506066
433	383.6370792
434	383.6186205
435	383.5736711
436	383.5530987
437	383.4973017
438	383.4625466
439	383.4345267
440	383.4067218
441	383.3758602
442	383.3480947
443	383.2680129
444	383.2505758
445	383.2056583
446	383.1745971
447	383.1542898
448	383.13807
449	383.1044228
450	383.0766861
451	382.9862445
452	382.954656
453	382.9150631
454	382.8807885
455	382.8383435
456	382.8232774
457	382.7770399
458	382.7408367
459	382.6874242
460	382.6525491
461	382.6260928
462	382.5833111
463	382.5761188
464	382.5556289
465	382.5297855
466	382.4960491
467	382.4560567
468	382.4485385
469	382.4005704
470	382.3817288
471	382.3614995
472	382.3480327
473	382.3273726
474	382.2742312
475	382.2451778
476	382.2270394
477	382.2022152
478	382.1698156
479	382.1545162
480	382.12238
481	382.0848468
482	382.0704127
483	382.0014798
484	381.9857372
485	381.9621281
486	381.92594
487	381.8971856
488	381.8829365
489	381.8756039
490	381.805369
491	381.7734177
492	381.7306691
493	381.7009332
494	381.6811133
495	381.6489329
496	381.6154473
497	381.6044341
498	381.5947724
499	381.5836413
500	381.5304502
501	381.4984944
502	381.4433063
503	381.4220727
504	381.3559091
505	381.3295496
506	381.2649522
507	381.2524316
508	381.2342717
509	381.2127221
510	381.2077399
511	381.1869111
512	381.1668318
513	381.1600619
514	381.1411264
515	381.1280142
516	381.1041459
517	381.0701411
518	381.0430367
519	381.0049151
520	380.9810162
521	380.9514818
522	380.9215086
523	380.8789813
524	380.8637743
525	380.8551168
526	380.8433933
527	380.7800677
528	380.7737217
529	380.7265982
530	380.7076103
531	380.6832499
532	380.6661972
533	380.6399888
534	380.6197657
535	380.6117155
536	380.5851863
537	380.5724217
538	380.5521929
539	380.4987165
540	380.4489268
541	380.4181229
542	380.3433996
543	380.3312192
544	380.2957352
545	380.2555992
546	380.2360269
547	380.2216966
548	380.1751361
549	380.1547288
550	380.1138736
551	380.0937929
552	380.0523979
553	380.036614
554	380.0146399
555	379.9781557
556	379.9416933
557	379.9125954
558	379.892886
559	379.8427451
560	379.8221873
561	379.7938299
562	379.7728557
563	379.7431364
564	379.7290254
565	379.6651974
566	379.647845
567	379.6117608
568	379.5890441
569	379.5772589
570	379.5243675
571	379.5150154
572	379.4905541
573	379.4519793
574	379.4463123
575	379.4367129
576	379.4236662
577	379.4032316
578	379.3844748
579	379.3649026
580	379.3040368
581	379.2813527
582	379.2561247
583	379.2286789
584	379.1865955
585	379.1619913
586	379.1354382
587	379.10299
588	379.0875647
589	379.0529515
590	379.0322832
591	379.0164206
592	378.9951011
593	378.9635647
594	378.9283579
595	378.9104462
596	378.8608039
597	378.8435291
598	378.8253537
599	378.7926325
600	378.7840478
601	378.7507432
602	378.7184005
603	378.695182
604	378.6834292
605	378.6753371
606	378.6008494
607	378.5811371
608	378.5394742
609	378.534276
610	378.5224407
611	378.4677375
612	378.4240656
613	378.3603004
614	378.3482946
615	378.3305928
616	378.325601
617	378.3095513
618	378.2628235
619	378.2458914
620	378.2247737
621	378.2098598
622	378.1835738
623	378.1578973
624	378.1417984
625	378.1052902
626	378.0858652
627	378.0718615
628	378.022202
629	377.9906508
630	377.9799096
631	377.9655669
632	377.9475519
633	377.9243402
634	377.911543
635	377.8974909
636	377.8352452
637	377.8143805
638	377.7974315
639	377.7867585
640	377.7695204
641	377.7579756
642	377.7397531
643	377.7174442
644	377.7016678
645	377.6608777
646	377.6401774
647	377.6296525
648	377.5915825
649	377.580763
650	377.568173
651	377.5535897
652	377.5190926
653	377.5096236
654	377.4823755
655	377.4532484
656	377.3918368
657	377.3714969
658	377.3528699
659	377.3279576
660	377.2873185
661	377.2434319
662	377.2363735
663	377.2018786
664	377.1876619
665	377.1697141
666	377.1315239
667	377.1034185
668	377.0752161
669	377.0529914
670	377.0377276
671	377.0127946
672	376.9617798
673	376.9372063
674	376.8831704
675	376.8684335
676	376.8411802
677	376.8247509
678	376.8080576
679	376.7873192
680	376.7684173
681	376.7428746
682	376.732793
683	376.6854564
684	376.6740936
685	376.6446836
686	376.5895503
687	376.5635446
688	376.5451246
689	376.5283417
690	376.4998877
691	376.4966903
692	376.4881578
693	376.4777632
694	376.4516721
695	376.4381251
696	376.4337291
697	376.4179364
698	376.3989244
699	376.3820076
700	376.3549106
701	376.3302502
702	376.2858143
703	376.2683774
704	376.2251276
705	376.1948238
706	376.1743406
707	376.1338823
708	376.1086938
709	376.0953699
710	376.0868069
711	376.0706798
712	376.0577252
713	376.0353149
714	376.0119712
715	375.9832629
716	375.9718208
717	375.9655462
718	375.926179
719	375.8945044
720	375.8669427
721	375.8290196
722	375.797853
723	375.7548458
724	375.7247465
725	375.7166444
726	375.7076661
727	375.7005682
728	375.657655
729	375.6485175
730	375.6102452
731	375.5730512
732	375.5381057
733	375.5207591
734	375.4920366
735	375.482586
736	375.4609221
737	375.4400927
738	375.421763
739	375.4140486
740	375.3696188
741	375.3493326
742	375.3314529
743	375.2989156
744	375.2795873
745	375.263469
746	375.2556226
747	375.2366542
748	375.2292487
749	375.2194699
750	375.1647622
751	375.1117989
752	375.098079
753	375.0764901
754	375.0364397
755	375.0167651
756	374.9827063
757	374.9560416
758	374.9467416
759	374.9154285
760	374.9002736
761	374.8805327
762	374.8639636
763	374.8474546
764	374.8277125
765	374.8089689
766	374.7993919
767	374.779902
768	374.7595424
769	374.7449159
770	374.7359644
771	374.7069292
772	374.6695304
773	374.644946
774	374.6325559
775	374.6003147
776	374.5787894
777	374.55686
778	374.5353115
779	374.5166507
780	374.4964081
781	374.4873972
782	374.4338833
783	374.4176651
784	374.4006423
785	374.3717455
786	374.3388384
787	374.3109225
788	374.275861
789	374.2574616
790	374.2418088
791	374.219963
792	374.1935818
793	374.1693837
794	374.154716
795	374.1473833
796	374.1323409
797	374.1295004
798	374.1100048
799	374.0981717
800	374.0571094
801	374.0422987
802	374.0157747
803	374.0005957
804	373.9743134
805	373.9532111
806	373.9354365
807	373.9059591
808	373.8822865
809	373.8675042
810	373.8494885
811	373.833409
812	373.8135156
813	373.7773278
814	373.762282
815	373.7448432
816	373.7389019
817	373.716884
818	373.7072617
819	373.6998946
820	373.6909148
821	373.6561419
822	373.6397239
823	373.624197
824	373.6113766
825	373.5812307
826	373.5652795
827	373.5514116
828	373.5027026
829	373.4903238
830	373.4689212
831	373.4595219
832	373.4513985
833	373.4342231
834	373.4277445
835	373.4168073
836	373.3833724
837	373.3690683
838	373.3585745
839	373.3195846
840	373.2826269
841	373.2615251
842	373.2436513
843	373.2317675
844	373.2131906
845	373.2026419
846	373.1699903
847	373.1441824
848	373.1133392
849	373.0932721
850	373.0622063
851	373.0541426
852	373.040673
853	373.0290184
854	373.0017992
855	372.9657772
856	372.9518858
857	372.9170166
858	372.9082647
859	372.8927293
860	372.8745086
861	372.8610207
862	372.8574508
863	372.832761
864	372.814029
865	372.8057382
866	372.7903212
867	372.7821412
868	372.7645609
869	372.7425734
870	372.71735
871	372.6922172
872	372.680782
873	372.6645554
874	372.6422199
875	372.6110542
876	372.5891619
877	372.5770404
878	372.5490446
879	372.5140417
880	372.4941811
881	372.4616751
882	372.4434408
883	372.4272501
884	372.4073303
885	372.3858937
886	372.3485809
887	372.3247006
888	372.3042563
889	372.2869074
890	372.2698483
891	372.241227
892	372.2283274
893	372.2225348
894	372.2102224
895	372.1864944
896	372.1651588
897	372.1513602
898	372.1392549
899	372.1170643
900	372.103992
901	372.078311
902	372.0618174
903	372.0530251
904	372.0413088
905	372.0390942
906	372.0080594
907	371.9996837
908	371.9924228
909	371.9758716
910	371.9522893
911	371.9391238
912	371.912042
913	371.8786041
914	371.8634491
915	371.8575205
916	371.830216
917	371.7999726
918	371.7869042
919	371.7628042
920	371.7442413
921	371.7328211
922	371.7103827
923	371.69171
924	371.674457
925	371.6688779
926	371.6534108
927	371.6174897
928	371.60348
929	371.5808509
930	371.5566031
931	371.5136603
932	371.4925235
933	371.4815858
934	371.46613
935	371.4301728
936	371.4151191
937	371.4025966
938	371.3774543
939	371.3633292
940	371.3474012
941	371.3325222
942	371.3224106
943	371.314201
944	371.292604
945	371.2703702
946	371.2616007
947	371.2506207
948	371.2339553
949	371.1995833
950	371.1942846
951	371.1882959
952	371.1700183
953	371.1471248
954	371.123068
955	371.1091869
956	371.0881375
957	371.0720561
958	371.020047
959	370.9969779
960	370.9943929
961	370.9744909
962	370.943462
963	370.9335924
964	370.9237446
965	370.897789
966	370.8836133
967	370.8675511
968	370.8448749
969	370.8281928
970	370.7996969
971	370.7834873
972	370.7327292
973	370.708214
974	370.6884907
975	370.6775923
976	370.6743483
977	370.6539316
978	370.64806
979	370.6423944
980	370.6293702
981	370.602798
982	370.5976231
983	370.5783803
984	370.5610571
985	370.5489956
986	370.5239448
987	370.5075128
988	370.4903423
989	370.465077
990	370.4573923
991	370.4371772
992	370.3982713
993	370.3875786
994	370.375832
995	370.3424522
996	370.3337678
997	370.2923413
998	370.2774523
999	370.2677321
44
999	369.6729582
18
